Qty,Item Description,Carbohydrates(g),Fiber(g),Protein(g),Fat(g),Unit Price
59,ALISHAN WHOLE MUSHROOMS 425G,51.0,0.0,51.0,0.0, RM2.92 
60,ALL JOY SUNSHINE PUDDING JELLY STICK 10PCS,83.6,0.0,0.0,0.0, RM1.25 
61,APOLLO CHECKER ORI CAKE A9010ML,263.52,0.0,21.6,108.0, RM6.20 
62,APOLLO CHOCO CAKE A3020 24PCS,5400.576,258.048,470.016,2340.864, RM6.90 
63,APOLLO CHOCO STICK WAFER 1044A 30PCS,5688.0,0.0,504.0,1512.0, RM5.80 
64,APOLLO STRAW STICK WAFER A1042V 30PCS,5688.0,0.0,504.0,1512.0, RM5.80 
65,APOLLO WAFFLE CHOC A1600 36PCS,4394.4,334.8,506.4,2704.8, RM10.20 
66,ARNOTT'S GOOD TIME MINI DOUBLE CHOC 12PCS,540.0,0.0,72.0,144.0, RM11.00 
67,AYAM BRAND COCONUT MILK 1LIT,11.2,0.0,8.8,82.4, RM9.05 
68,AYAM BRAND MACKEREL 425G,4.25,0.0,53.55,49.725, RM8.25 
69,AYAM BRAND TUNA 160G,20.16,0.0,49.6,27.2, RM6.42 
70,AYAM DINDINGS CRISPY CHICKEN FINGER 400G,444.0,0.0,728.0,408.0, RM9.50 
71,AYAMADU SOSEJ DAGING LEMBU 300G,81.0,0.0,204.0,310.5, RM6.10 
72,BABA'S CUMIN POWDER (JINTAN PUTIH) 20G,19.92,0.0,18.6,30.48, RM0.78 
73,BABA'S FENNEL POWDER (JINTAN MANIS) 20G,59.78,39.62,24.78,33.32, RM0.85 
74,BABA'S KARI DAGING PEDAS 25G,75.0,57.6,24.75,31.5, RM0.83 
75,BABA'S REMPAH BRIYANI 70G,47.6,136.5,52.5,63.35, RM4.80 
76,BABA'S SERBUK CILI 20G,59.4,78.54,22.88,29.7, RM0.93 
77,BABA'S SERBUK KARI IKAN 125G,133.75,99.25,40.75,44.25, RM2.50 
78,BABA'S SERBUK KARI IKAN MASIN 125G,200.625,148.875,61.125,66.375, RM3.00 
79,BABA'S SERBUK KARI IKAN MASIN 25G,53.5,39.7,16.3,17.7, RM0.90 
80,BABA'S SERBUK KARI IKAN PEDAS 25G,26.75,19.85,8.15,8.85, RM0.83 
81,BABA'S SERBUK KUNYIT (TURMERIC) 250G,182.75,44.0,15.75,6.75, RM4.30 
82,BABA'S SERBUK KUNYIT (TURMERIC) 25G,18.275,4.4,1.575,0.675, RM0.80 
83,BABA'S SERBUK RENDANG 25G,41.475,43.925,25.725,32.2, RM0.90 
84,BABA'S TEPUNG MURUKKU 500G,1890.0,85.0,237.5,27.5, RM5.20 
85,BANGLE GUMMY 30PCS,271.58,0.0,15.17,0.0, RM9.00 
86,BEGA TATURA CREAM CHEESE 250G,43.5,0.0,124.5,505.5, RM8.80 
87,BESBITE MILK ICE TUBE 450ML,225.0,0.0,0.0,0.0, RM2.10 
88,BESBITE MIXED FRUIT PUDDING 6X120G,1313.28,0.0,43.776,18.432, RM3.80 
89,BESBITE POP-POP ICE TUBE 750ML,900.0,0.0,100.0,100.0, RM1.70 
90,BESBITE/HOGOMAS MILK ICE TUBE 450ML,84.15,0.0,0.45,0.0, RM2.00 
91,BESBITE/HOGOMAS POP-POP ICE TUBE 750ML,140.25,0.0,0.75,0.0, RM1.70 
92,BIHO LAKSA BERAS (M) 450G,376.2,0.0,21.6,0.0, RM2.51 
93,BIKA BIKO AYAM C/STICK 80PCS (2191),3379.2,76.8,153.6,768.0, RM10.00 
94,BIKA BIKO BBQ C/STICK 80PCS (2184),3379.2,76.8,153.6,768.0, RM10.00 
95,BIKA CHICKEN CRACKER 1KG,440.0,10.0,20.0,100.0, RM13.80 
96,BIKA CHICKEN F/SNACK (G) 30PCS,1584.0,36.0,72.0,360.0, RM8.60 
97,BIKA CHICKEN F/SNACK (R) 30PCS,3168.0,72.0,144.0,720.0, RM8.60 
98,BIKA FIKA CHOCO PIE 30PCS,2476.8,108.0,0.0,864.0, RM8.60 
99,BINGO KING LYCHEES 567G (OBH),1360.8,0.0,45.36,0.0, RM4.42 
100,BINGO SARDINE 400G,384.0,0.0,768.0,768.0, RM3.00 
101,BIRDIE EGG BUBBLE GUM 30PCS,560.0,0.0,0.0,0.0, RM8.80 
102,BLOW BUBBLE GUM 50PCS,214.2,0.0,0.0,0.0, RM14.50 
103,BORO COOKIES C/NUT ORI 195G,173.55,1.95,1.95,17.55, RM2.80 
104,BUMIMAS FRENCH FRIED CRINKLE CUT 1KG,210.0,20.0,20.0,20.0, RM8.50 
105,BURST ANGRY BITE BUBBLE GUM 60PCS,840.0,0.0,0.0,0.0, RM17.60 
106,CADBURY D/MILK MARVC JELLY POP 150G,369.6,0.0,39.0,159.0, RM7.40 
107,CADBURY DAIRY MILK BUBBLY 120G,140.4,0.0,18.72,74.4, RM7.40 
108,CADBURY DAIRY MILK BUBBLY 50G,29.25,0.0,3.9,15.5, RM2.73 
109,CADBURY DAIRY MILK HAZELNUT 37G,38.11,2.146,7.178,24.79, RM2.41 
110,CADBURY SHOTS 18G,183.96,0.0,11.844,46.62, RM0.82 
111,CADBURY SHOTS 39.6G,292.0,0.0,18.8,74.0, RM1.65 
112,CAP BULAN BINTANG MEE SANGGUL 140G,100.1,0.0,15.54,6.3, RM1.70 
113,CAP BUNGA KERTAS KENTUCKY T/G SERBAGUNA ORI 1KG,3445.0,0.0,590.0,60.0, RM5.50 
114,CAP BUNGA KERTAS KENTUCKY T/G SERBAGUNA PEDAS 1KG,2157.0,0.0,321.0,0.0, RM5.50 
115,CAP CINTA KETUPAT NASI MINI 600G,2397.0,0.0,192.0,18.0, RM4.49 
116,CAP KIPAS UDANG K/L MASIN 345ML,1552.5,129.375,139.725,0.0, RM4.53 
117,CAP LANG JAGUNG MANIS 425G,382.5,0.0,170.0,0.0, RM3.00 
118,CAP O SERBUK KARI MASAK MERAH 250G,247.5,0.0,120.0,127.5, RM4.30 
119,"CAP O SERBUK KARI UDANG,KETAM&IKAN KERING 250G",110.0,0.0,35.0,27.5, RM4.30 
120,CAP O SERBUK PERENCAH SUP 250G,173.25,0.0,26.75,19.25, RM5.10 
121,CAP RAMA RAMA KUACI 110G,85.8,0.0,112.2,158.4, RM21.50 
122,CARTOON MARSMALLOW 30PCS,2000.0,0.0,75.0,0.0, RM8.20 
123,CED PURE HONEY 380G,5658.96,0.0,0.0,0.0, RM8.60 
124,CHIPSMORE DOUBLE CHOCO 153G,99.4,0.0,8.4,28.7, RM3.56 
125,CHIPSMORE MINI HALZENUT 80G,81.2,0.0,7.28,27.44, RM1.86 
126,CHIPSMORE ORIGINAL 153G,210.528,0.0,18.36,65.484, RM3.56 
127,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,1520.0,0.0,80.0,560.0, RM7.00 
128,CINTA SARDIN 425G,13.6,0.0,122.4,68.0, RM4.70 
129,CINTAN ASAM LAKSA 5PCS,472.72,15.2,74.48,157.32, RM5.33 
130,CINTAN PERISA ASLI 5PCS,256.88,7.6,34.58,57.76, RM3.00 
131,CINTAN PERISA KARI 5PCS,3009.6,136.8,547.2,1026.0, RM3.65 
132,CINTAN TOM YAM 5PCS,934.8,30.4,174.8,288.8, RM5.33 
133,CJH KOKI KOKO CHIPS 450G,270.0,0.0,42.885,120.24, RM10.50 
134,CJH KOKI MAZOLA 450G,270.0,0.0,42.885,120.24, RM10.50 
135,CJH KUIH LOYANG 200GM,420.8,0.0,45.6,292.0, RM10.50 
136,COLOR BAR MARSHMALLOW 30PCS,4435.2,0.0,340.2,0.0, RM8.80 
137,CREAM-O COOKIES DARK CHOCOLATE 119G,240.975,12.495,23.562,63.189, RM2.26 
138,CREAM-O COOKIES ORI 119G,431.97,24.99,41.412,196.35, RM2.26 
139,D-JACK ANGRY BITE CHEESE 1KG,640.0,0.0,80.0,275.0, RM9.65 
140,DAIRY CHAMP KRIMER MANIS 505G,7908.3,0.0,204.525,1363.5, RM2.85 
141,DAQIAN MARSHMALLOW 500G,3750.75,0.0,150.03,0.0, RM7.10 
142,DESA ALPHA NATA DE COCO LYCHEE 1.5KG,150.0,37.5,0.0,0.0, RM4.90 
143,DESA ALPHA NATA DE COCO STRAWBERRY 1.5KG,150.0,37.5,0.0,0.0, RM4.90 
144,DESA APLHA NA DE COCO GRAPE 450G,45.0,11.25,0.0,0.0, RM2.30 
145,DESA APLHA NA DE COCO MANGO 450G,90.0,22.5,0.0,0.0, RM2.30 
146,DOLPHIN FRUITS JELLY STICK 360G,88.0,0.0,0.0,0.0, RM2.30 
147,DOLPHIN FRUITS PUDDING W/NATA DE COCO 40GX8PCS,108.16,5.44,5.44,0.0, RM2.50 
148,DOLPHIN KONJAC JELLY GRAPE 15PCS,432.0,36.0,0.0,0.0, RM4.40 
149,DOLPHIN KONJAC JELLY PEACH 15PCS,378.0,31.5,0.0,0.0, RM4.40 
150,DOLPHIN MANGO JELLY W/NATA DE COCO 32GX8PCS,173.056,8.704,8.704,0.0, RM2.50 
151,DOLPHIN MIX FRUIT NATA JELLY 100PCS,750.0,150.0,0.0,0.0, RM7.90 
152,DOLPHIN MIX FRUIT NATA PUDDING 85GX6PCS,304.2,15.3,15.3,0.0, RM4.15 
153,DOLPHIN MIXED FRUIT JELLY W/NATA DE COCO 256G,76.8,15.36,0.0,0.0, RM1.50 
154,DOLPHIN MIXED FRUIT NATA JELLY 130GX3PCS,101.4,5.1,5.1,0.0, RM2.40 
155,DOLPHIN NATA DE COCO KIWI 1.5KG,450.0,30.0,0.0,0.0, RM6.10 
156,DOLPHIN NATA DE COCO MANGO 1.5KG,450.0,30.0,0.0,0.0, RM6.10 
157,DOLPHIN NATA DE COCO MANGO 270ML,16.2,5.4,0.0,0.0, RM1.33 
158,DOLPHIN NATA DE COCO W/LYCHEE DRINK 800G,129.6,43.2,0.0,0.0, RM3.70 
159,DOLPHIN NATA DE COCO W/MANGO DRINK 430G,129.6,43.2,0.0,0.0, RM2.40 
160,DOLPHIN NATA DE COCO W/MANGO DRINK 800G,64.8,21.6,0.0,0.0, RM3.70 
161,DOLPHIN NATA DE COCO W/STRAW DRINK 800G,129.6,43.2,0.0,0.0, RM3.70 
162,DOLPHIN YOGO SNAPZ FRUITS PUDDING STICK 45MLX8PCS,66.0,13.5,0.0,0.0, RM2.50 
163,DOUBLE DECKER CHICKEN CRACKER 65G (NEW),46.15,1.17,3.185,10.53, RM1.65 
164,DOUBLE DECKER GREEN PEAS CRACKER 80G (NEW),153.84,10.32,34.56,28.8, RM1.65 
165,DOUBLE DECKER MINI CHIC 30PCS,261.9,17.1,25.2,147.6, RM8.70 
166,DOUBLE DECKER MINI PRAWN 30PCS,2095.2,136.8,201.6,1180.8, RM8.70 
167,DOUBLE DECKER PRAWN FAMILY PACK 8PCS,69.84,4.56,6.72,39.36, RM2.55 
168,DRAWING RULER+LOLLIPOP 30PCS,108.1,0.0,0.0,0.0, RM8.20 
169,DUTCH LADY BANANA 200ML,996.4,0.0,333.9,201.4, RM7.98 
170,DUTCH LADY CHOCO 1LIT,84.0,0.0,26.0,13.2, RM5.71 
171,DUTCH LADY CHOCOLATE MILK 125ML,10.5,0.0,3.25,1.625, RM18.96 
172,DUTCH LADY FRESH MILK 450ML,669.6,0.0,446.4,460.35, RM3.82 
173,DUTCH LADY FULL CREAM 1LIT,144.0,0.0,96.0,99.0, RM5.57 
174,DUTCH LADY LOW FAT 1LIT,57.0,0.0,26.0,12.0, RM6.05 
175,DUTCH LADY LOW FAT 200ML,22.8,0.0,10.4,4.8, RM1.33 
176,DUTCH LADY LOW FAT 450ML,615.6,0.0,280.8,129.6, RM3.73 
177,DUTCH LADY STRAWBERRY 1LIT,1008.0,0.0,364.0,182.0, RM5.71 
178,EMBORG WHIPPING CREAM 200ML,151.8,0.0,96.6,1614.6, RM6.85 
179,ERAWAN TEPUNG BERAS 1KG,806.0,0.0,74.0,4.7, RM3.40 
180,ERAWAN TEPUNG BERAS 500G,2821.0,0.0,259.0,16.45, RM1.75 
181,ES SARDINES 400G,6.16,0.0,102.08,40.88, RM3.50 
182,EYE GUMMY LIGHT LOLLIPOP 60PCS,864.8,0.0,0.0,0.0, RM17.60 
183,F&N SARSI 1.5LIT,11025.0,0.0,0.0,0.0, RM35.30 
184,F&N SEASONS SOYA 250ML,13.25,0.0,3.75,2.5, RM20.88 
185,FARM FRESH YOGURT MANGO TANGO 125ML,400.0,0.0,88.0,48.0, RM1.15 
186,FARM FRESH YOGURT STRAW BERRIES 125ML,400.0,0.0,88.0,48.0, RM1.15 
187,FERRY BRAND KING LONGAN 565G,101.7,0.0,2.825,5.085, RM6.00 
188,FIRST PRIDE BBQ CHICKEN 600G,0.0,0.0,487.32,242.76, RM12.50 
189,FRESH FRUIT JELLY 20PCS,2400.0,0.0,0.0,0.0, RM6.00 
190,FRITTOS KACANG CHAMPION 30PCS,120.0,13.2,10.5,22.2, RM5.88 
191,FRITTOS MURUKU BINTANG 500G,140.0,0.0,80.0,165.0, RM3.60 
192,FRITTOS MURUKU HALUS 500G,225.0,0.0,30.0,215.0, RM3.60 
193,FRITTOS MURUKU IKAN 500G,140.0,0.0,80.0,165.0, RM3.60 
194,FRITTOS MURUKU IKAN SWEET&SPICY 500G,140.0,0.0,80.0,165.0, RM3.80 
195,FRITTOS MURUKU KARI SATAY 500G,140.0,0.0,80.0,165.0, RM3.80 
196,FRONTIER TOPFER W/STICK CHOCO 40PCS,40320.0,0.0,3888.0,11088.0, RM4.40 
197,FRONTIER TOPFER W/STICK VANILA 40PCS,40320.0,0.0,3888.0,11088.0, RM4.40 
198,FRUIT TWISTER LOLLIPOP 24PCS,75.3,0.0,0.0,0.0, RM0.30 
199,FUNNY SPRAY 20PCS,22.0,0.0,0.0,0.0, RM6.00 
200,GAJAH TEPUNG BERAS 1KG,8150.0,0.0,750.0,90.0, RM3.30 
201,GAJAH TEPUNG BERAS 500G,407.5,0.0,37.5,4.5, RM1.75 
202,GAS CANISTERS SPRAY 30PCS,93.0,0.0,0.0,0.0, RM9.00 
203,GHEE MINYAK SAPI TULIN 125G,0.0,0.0,0.0,837.5, RM9.50 
204,GIANT JUICY ROLLER SYRUP CANDY 30PCS,33.0,0.0,0.0,0.0, RM9.00 
205,GLINTER SPARKLING GREEN APPLE 350ML,12.0,0.0,0.0,0.0, RM1.90 
206,GOLD COIN CHOCOLATE 100PCS,440.0,20.0,40.0,180.0, RM7.00 
207,GOLD COIN KOPI&TARIK K/MANIS 500G,299.0,0.0,8.5,53.0, RM3.30 
208,GUD SHREDDED MOZZARELLA 250G,1.5,0.0,65.0,55.5, RM12.00 
209,GULA PRAI 1KG,999.0,0.0,0.0,0.0, RM66.50 
210,H&H RULER WATERMELON B.GUM 30PCS,11040.0,0.0,0.0,0.0, RM8.80 
211,HARIMAU SERBUK ASAM 400G,320.4,0.0,8.0,1.6, RM4.30 
212,HAUS BOOM CHEERS KING COLA 325ML,14.0,0.0,0.0,0.0, RM1.05 
213,HAUS BOOM CHEERS ORANGE 325ML,14.0,0.0,0.0,0.0, RM1.05 
214,HELLO PANDA CHOC 43G,312.0,0.0,24.0,144.0, RM2.30 
215,HELLO PANDA STRAWBERRY 43G,390.0,0.0,30.0,180.0, RM2.30 
216,HEPIN CHOCOLATE GOOD! 40G,24.0,0.0,2.0,12.6, RM1.90 
217,HET MARJERIN ROTI KOK 160G+-,102.24,0.0,13.28,38.4, RM2.55 
218,HOBE RED KIDNEY BEANS 425G,102.0,0.0,21.25,0.0, RM3.10 
219,HOGOMAS / BESBITE KUACI 110G,357.5,0.0,825.0,1375.0, RM1.85 
220,HORSE POPPING LOLLIPOP 30PCS,4800.0,0.0,0.0,0.0, RM8.80 
221,HPG HAW FLAKES 10PCS,290.0,0.0,10.0,30.0, RM0.89 
222,HPG HAW FLAKES 12PCS,50112.0,0.0,1728.0,5184.0, RM3.60 
223,HPG MACARONS LEMON 80PCS,23.2,3.2,2.0,14.0, RM4.80 
224,HPG SLICE KONJAC JELLY CANDY 40PCS,80.0,0.0,0.0,0.0, RM11.30 
225,HSH LOLLIPOP 40PCS,6400.0,0.0,0.0,0.0, RM6.70 
226,HUP SENG TEDDY BISCUITS 120G,88.0,0.0,8.0,24.0, RM2.50 
227,ICE BREAKERS MINTS 20PCS,20.0,0.0,0.0,0.0, RM13.00 
228,ICE CREAM FRUIT FLAVOR 24PCS,1084.32,0.0,0.0,0.0, RM7.10 
229,ICE CREAM LOLLIPOP 30PCS,7134.6,0.0,0.0,0.0, RM9.00 
230,JACOB'S WEETAMEAL 8PCS (BOX),272.0,16.0,32.0,72.0, RM5.09 
231,JALEN KICAP MASIN 325ML,712.8,0.0,79.2,0.0, RM3.04 
232,JATI BERAS JELAPANG 10KG,15440.0,0.0,1420.0,580.0, RM30.99 
233,JATI BERAS JELAPANG 5KG,11580.0,0.0,1065.0,435.0, RM15.84 
234,JAYER PUDDING JELLY+POP CANDY 20GX10PCS,76.0,0.0,0.0,0.0, RM6.25 
235,JAYER RAINBOW PUDDING JELLY 2PACKS,0.6,0.0,0.0,0.0, RM1.45 
236,JAYER RAINBOW PUDDING JELLY 32PCS,1190.4,0.0,0.0,0.0, RM16.64 
237,JERY~Q JELLY NATA DRINK 12PCS,97.2,0.0,0.0,0.0, RM8.20 
238,JOMEI BISKUT OK GO MELON 210G,48.0,0.0,16.0,41.6, RM4.20 
239,JOMEI JAYA CHEWY 30PCS,625.56,0.0,21.84,74.88, RM7.80 
240,JOMEI MARSHMALLOW 500G,2100.0,0.0,57.5,0.0, RM7.00 
241,JOMEI STONE CANDY 500G,413.5,0.0,12.0,43.0, RM6.00 
242,JOMEI XL SOUR FRUIT POWDER 30PCS,131.4,0.0,27.45,0.0, RM7.80 
243,JULIE'S OAT 25 TEN GRAIN 12PCS,128.0,8.0,16.0,48.0, RM14.40 
244,JULIE'S SUGAR CRACKERS 416G,1644.864,74.88,202.176,586.56, RM3.30 
245,JnJ POTATO CHIPS CILI SALSA 60G,235.2,0.0,32.16,181.92, RM2.13 
246,JnJ ROLLER COASTER BBQ 60G,147.0,0.0,20.1,113.7, RM16.72 
247,KELLOGG'S SCHOOL PACK 170GX6PCS,61.2,1.7,5.1,0.0, RM7.38 
248,KHY BIG CRYSTAL LOLLIPOP,22.0,0.0,0.0,0.0, RM1.30 
249,KHY BIG SOUR FRUIT POWDER 20PCS+2PCS,93.44,0.0,19.52,0.0, RM6.10 
250,KHY RAINBOW GUM W SOUR POWDER 50PCS,240.0,0.0,0.0,0.0, RM3.40 
251,KHY SOUR FRUIT POWDER 30+3PCS,93.44,0.0,19.52,0.0, RM4.90 
252,KHY TAMAGO (II) / EGGO HERO,60.0,1.0,8.0,10.0, RM0.75 
253,KIMBALL PATI TOMATO 430G,1377.72,0.0,294.12,15.48, RM5.20 
254,KIMBALL SOS BBQ 1KG,3124.0,0.0,44.0,22.0, RM8.60 
255,KIMBALL SOS CILI 340G,2132.82,0.0,23.12,5.78, RM2.67 
256,KIMBALL SOS CILI 500G,553.5,0.0,6.0,1.5, RM3.51 
257,KIMBALL SOS KEJU 1KG,560.0,0.0,72.0,132.0, RM9.55 
258,KIMBALL SOS LADA HITAM 1KG,3216.0,0.0,60.0,6.0, RM6.85 
259,KIMBALL SOS PASTA TRADISIONAL 350G,493.5,0.0,52.5,31.5, RM4.21 
260,KIMBALL SOS TIRAM 255G,1288.77,0.0,71.4,0.0, RM3.28 
261,KIMBALL SOS TOMATO 1KG,1024.0,0.0,28.0,0.0, RM4.43 
262,KIMBALL SOS TOMATO 325G,1248.0,0.0,34.125,0.0, RM2.88 
263,KIMBALL SOS TOMATO 485G,124.16,0.0,3.395,0.0, RM4.10 
264,KIMBALL SUP TOMATO 425G,160.65,0.0,8.925,22.95, RM3.75 
265,KING CUP SARDINES 425G,8.5,0.0,59.5,19.975, RM7.45 
266,KITKAT 35G 4F,10.3,0.0,1.2,4.8, RM2.42 
267,KITKAT CHUNKY RAISIN & COOKIES 38G,226.0,0.0,33.6,113.2, RM2.52 
268,KLFC MARINATED S/B CHICKEN CHOP 1KG,592.0,0.0,652.0,84.0, RM22.58 
269,KLFC TERIYAKI CHICKEN WITH SAUCE 350G,511.0,0.0,591.5,273.0, RM11.86 
270,KOKO HARIMAU 40PCS,2560.0,0.0,256.0,128.0, RM7.50 
271,KOKO TIGER 40PCS,160.0,0.0,16.0,8.0, RM6.80 
272,KOKO TUBE SOFT CHOC 80PCS,240.0,8.0,24.0,92.0, RM7.20 
273,KONNYAKU MIXED FRUIT KONJAC JELLY 12PCS,31.724,0.0,0.0,0.0, RM3.20 
274,LEISURE TIME LONG MARSHMALLOW 24PCS,7440.0,0.0,240.0,0.0, RM7.68 
275,LIFE SOS CILI 330G,323.4,19.8,0.0,0.0, RM2.60 
276,LOVELY COTTON CANDY 90G+-,19.8,0.0,2.7,8.1, RM1.70 
277,LURPAK BUTTER S/SALTED 250G,22.5,0.0,18.75,2925.0, RM10.50 
278,LURPAK BUTTER UNSALTED 250G,16.5,0.0,13.75,2145.0, RM8.90 
279,M&M 'S CHOCOLATE CANDIES 175.5G,1443.05,112.7,242.55,634.55, RM12.42 
280,M&M FUN SIZE PEANUT 13BAGS (175.5G),34734.7,0.0,2402.4,9509.5, RM11.25 
281,MAGGI 2MNT BIG AYAM 5PCS,244.0,0.0,38.5,73.0, RM4.95 
282,MAGGI KIUB PATI IKAN BILIS 6X10G,8.0,0.0,12.0,4.0, RM2.83 
283,MAGGI KIUB PATI TOM YAM 6X10G,220.0,0.0,88.0,88.0, RM2.83 
284,MAGGI MI GORENG SAMBAL T/BILIS 5PCS,219.5,0.0,33.0,78.0, RM5.79 
285,MAGGI PAZZTA MUSHROOM PENNE 70G,95.62,5.04,16.1,4.9, RM2.79 
286,MAGGI PEDAS GILER AYAM BAKAR 93G (BOWL),56.823,0.0,7.626,20.181, RM3.63 
287,MAGGI PEDAS GILER CHEEZY BERAPI 94G (BOWL),1281.408,0.0,203.04,471.504, RM4.25 
288,MAGGI PEDAS GILER SEA FOOD 97G (BOWL),59.461,0.0,8.148,20.661, RM3.18 
