Month,Item Description,Quantity,Total Price
August,SUMMER FRESH YES! I/C POP STRAWBERRY 5PCS,1,1.9
August,SUMMER FRESH YES! I/C POP TROPICANA 5PCS,5,9.5
August,SUPER KONJAC JELLY 40PCS,4,48.0
August,TA GE BOWL PP 32 100PCS+-,1,10.7
August,TC MURUKU IKAN PEDAS 24PCS,20,88.0
August,TC MURUKU IKAN SOTONG 24PCS,20,88.0
August,TEN2 MARSHMALLOWS FLOWER VANIILA 1KG,1,23.6
August,TWISTIES CHEESE 24PCS,16,120.0
August,V-KA CUTE/FRUITY MARSHMALLOW 24PCS,6,42.6
August,V-KA MIX SOFT GUMMY CANDY 30PCS,2,17.0
August,V-SOY MULTI-GRAIN 1000ML,6,32.04
August,V-SOY MULTI-GRAIN NO SUGAR 1000ML,7,37.38
August,V-SOY NO SUGAR 200ML,5,24.75
August,VFOODS LATTE ROLLED FANCY STICK 5KG,1,52.5
August,VFOODS SMALL TIN ICE GEM BISC 1.2KG,1,14.7
August,WIN2 POTATO CRISP CURRY 30PCS,12,96.0
August,WIN2 POTATO CRISP TOMATO 30PCS,24,192.0
August,WQX PAI XIANG SHI MEI 2KG,2,52.0
August,WQX QING REN MEI 2KG,1,28.0
August,YEO'S ICED LEMON TEA 300ML (TIN),1,1.11
August,YEO'S LYCHEE 250ML (KOTAK),1,0.75
August,YOYO MARSHMALLOW 30PCS,8,70.4
September,ADABI KARI AYAM & DAGING 24G,6,6.48
September,ADABI NASI GORENG TOM YAM 17G,8,6.64
September,ADABI PERENCAH SUP SIAM 40G,1,1.7
September,ALIBABA FRUIT JELLY 245GM,1,0.75
September,ALIBABA GARY CHOC SANDWICH 500G,9,116.1
September,ALIBABA VIVI JELLY NATA G+S 24PCS,1,7.1
September,ALIBABA ZIZI JELLY NATA DE COCO 12PCS,5,18.5
September,APOLLO CHECKER ORI CAKE A9010ML,1,6.2
September,BABA'S REMPAH BRIYANI 70G,2,9.6
September,BANGLE GUMMY 30PCS,1,9.0
September,BINGO KING LYCHEES 567G (OBH),8,30.0
September,BORO COOKIES C/NUT ORI 195G,1,2.8
September,CAP BULAN BINTANG MEE SANGGUL 140G,1,1.7
September,CHOCO BALL EARTH / GOLD / MIX COLOUR 100PCS,1,7.0
September,DESA ALPHA NATA DE COCO LYCHEE 1.5KG,1,4.9
September,DESA ALPHA NATA DE COCO STRAWBERRY 1.5KG,1,4.9
September,DESA APLHA NA DE COCO GRAPE 450G,1,2.3
September,DESA APLHA NA DE COCO MANGO 450G,2,4.6
September,DOLPHIN FRUITS JELLY STICK 360G,1,2.2
September,DOLPHIN MIXED FRUIT NATA JELLY 130GX3PCS,1,2.4
September,DOLPHIN NATA DE COCO MANGO 270ML,1,1.33
September,DOUBLE DECKER CHICKEN CRACKER 65G (NEW),1,1.65
September,DOUBLE DECKER GREEN PEAS CRACKER 80G (NEW),5,8.25
September,F&N SARSI 1.5LIT,4,141.2
September,FUNNY SPRAY 20PCS,1,6.0
September,GAS CANISTERS SPRAY 30PCS,1,9.0
September,GHEE MINYAK SAPI TULIN 125G,1,9.5
September,GOLD COIN KOPI&TARIK K/MANIS 500G,1,3.3
September,HPG HAW FLAKES 10PCS,1,0.89
September,HPG HAW FLAKES 12PCS,226,768.4
September,JATI BERAS JELAPANG 10KG,1,30.99
September,JULIE'S SUGAR CRACKERS 416G,1,2.85
September,JnJ ROLLER COASTER BBQ 60G,5,83.6
September,KOKO TIGER 40PCS,1,6.8
September,M&M 'S CHOCOLATE CANDIES 175.5G,14,173.88
September,M&M FUN SIZE PEANUT 13BAGS (175.5G),22,247.5
September,MAMA SEDAP BAWANG GORENG 180G,1,2.5
September,MAMA SEDAP K/TANAH HANCURAN 300G,12,52.8
September,MUNCHY'S LEXUS CHOCO 190G,6,27.84
September,ORI BIS BERKRIM STRAW 4808 630G,5,31.0
September,ORI BISKUT BERKRIM SUSU 3221 560G,3,19.23
September,ORI BISKUT SARAPAN CHOCO 4211 375G,3,14.88
September,ORI BISKUT SARAPAN SUSU 3641 440G,4,19.6
September,SAN REMO MACARONI 500G,11,46.2
September,SOHO BREAD CRUMB (WHITE) 270G,14,46.2
September,SSYP JIU ZHI CHENG TIAO 2KG,11,293.7
September,SUKAS K/DHALL 250G,30,147.0
September,SUNQUICK MIXED MANGO 800ML,1,6.4
September,SUPER KONJAC JELLY 40PCS,1,12.0
September,TCC GULA CASTER 1KG,1,5.2
September,TOKI TOMATO CORN STICK 30PCS,2,14.6
September,VFOODS MINI TIN MINI GOLDEN P'APPLE 430G,1,8.5
