Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Item Code,Quantity,Unit Price,Carbohydrates (g),Fiber (g),Protein (g),Fat (g),Total Price
16/5/2023,128,0,0,0,ALIBABA JELLY DRINK 90MLX20PCS,PKS0466,1, RM7.10 ,128,0,0,0,7.10
12/3/2023,640,0,0,0,ALIBABA JELLY DRINK 90MLX20PCS,PKS0466,5, RM7.10 ,128,0,0,0,35.50
6/2/2023,128,0,0,0,ALIBABA JELLY DRINK 90MLX20PCS,PKS0466,1, RM7.10 ,128,0,0,0,7.10
3/2/2023,417,0,85.1,134,ALIBABA MELON SEEDS CHOC 1000G,PKS3822,1, RM17.70 ,417,0,85.1,134,17.70
1/6/2023,417,0,85.1,134,ALIBABA MELON SEEDS CHOC 1000G,PKS3822,1, RM17.70 ,417,0,85.1,134,17.70
1/8/2023,322.56,0,0,0.72,ALIBABA MISAKI POWDER CANDY 60CUPS,PKS5931,1, RM4.60 ,322.56,0,0,0.72,4.60
14/8/2023,336.6,0,12,12,ALIBABA MIX TOP LOLLIPOPS 50+4PCS,PKS2167,2, RM4.70 ,168.3,0,6,6,9.40
25/6/2023,19.2,0,0,0,ALIBABA NATA DRINK 12PCS,PKS3733,2, RM4.70 ,9.6,0,0,0,9.40
15/2/2023,409.08,0,0,0,ALIBABA SUPER POP FRUIT FLAVOR,PKS4948,7, RM30.00 ,58.44,0,0,0,210.00
25/6/2023,470.4,0,24,0,ALIBABA VIVI JELLY NATA 12PCS,PKS3032,1, RM3.75 ,470.4,0,24,0,3.75
12/6/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA 12PCS,PKS3032,2, RM3.75 ,470.4,0,24,0,7.50
6/2/2023,470.4,0,24,0,ALIBABA VIVI JELLY NATA 12PCS,PKS3032,1, RM3.75 ,470.4,0,24,0,3.75
5/7/2023,470.4,0,24,0,ALIBABA VIVI JELLY NATA 12PCS,PKS3032,1, RM3.75 ,470.4,0,24,0,3.75
18/1/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA G+S 24PCS,PKS1801,1, RM7.10 ,940.8,0,48,0,7.10
14/9/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA G+S 24PCS,PKS1801,1, RM7.10 ,940.8,0,48,0,7.10
3/2/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA G+S 24PCS,PKS1801,1, RM7.10 ,940.8,0,48,0,7.10
16/5/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA M+L 24PCS,PKS1680,1, RM7.10 ,940.8,0,48,0,7.10
3/2/2023,940.8,0,48,0,ALIBABA VIVI JELLY NATA M+L 24PCS,PKS1680,1, RM7.10 ,940.8,0,48,0,7.10
14/9/2023,76.8,15.36,0,0,ALIBABA ZIZI JELLY NATA DE COCO 12PCS,PKS5935,5, RM3.70 ,15.36,3.07,0,0,18.50
6/2/2023,110.8,0,20.4,160,ALICAFE 250ML,PKS2917,4, RM3.50 ,27.7,0,5.1,40,14.00
10/3/2023,119.78,0,1.695,2.825,ALISHAN KING LONGANS 565G,PKS5693,1, RM6.00 ,119.78,0,1.7,2.83,6.00
30/6/2023,223.74,0,0,0,ALISHAN PINEAPPLE CUBES 565G,PKS6465,3, RM5.25 ,74.58,0,0,0,15.75
10/2/2023,51,0,51,0,ALISHAN WHOLE MUSHROOMS 425G,PKS2810,3, RM2.92 ,17,0,17,0,8.76
3/7/2023,83.6,0,0,0,ALL JOY SUNSHINE PUDDING JELLY STICK 10PCS,PKS0861,1, RM1.25 ,83.6,0,0,0,1.25
15/9/2023,263.52,0,21.6,108,APOLLO CHECKER ORI CAKE A9010ML,PKS2983,1, RM6.20 ,263.52,0,21.6,108,6.20
8/5/2023,5400.576,258.048,470.016,2340.864,APOLLO CHOCO CAKE A3020 24PCS,PKS0248,24, RM6.90 ,225.02,10.75,19.58,97.54,165.60
18/1/2023,5688,0,504,1512,APOLLO CHOCO STICK WAFER 1044A 30PCS,PKS5677,24, RM5.80 ,237,0,21,63,139.20
16/8/2023,5688,0,504,1512,APOLLO STRAW STICK WAFER A1042V 30PCS,PKS5676,24, RM5.80 ,237,0,21,63,139.20
16/8/2023,4394.4,334.8,506.4,2704.8,APOLLO WAFFLE CHOC A1600 36PCS,PKS0241,12, RM10.20 ,366.2,27.9,42.2,225.4,122.40
31/7/2023,540,0,72,144,ARNOTT'S GOOD TIME MINI DOUBLE CHOC 12PCS,PKS0471,3, RM11.00 ,180,0,24,48,33.00
30/3/2023,11.2,0,8.8,82.4,AYAM BRAND COCONUT MILK 1LIT,PKS4136,2, RM9.05 ,5.6,0,4.4,41.2,18.10
30/3/2023,4.25,0,53.55,49.725,AYAM BRAND MACKEREL 425G,PKS0743,1, RM8.25 ,4.25,0,53.55,49.73,8.25
3/3/2023,20.16,0,49.6,27.2,AYAM BRAND TUNA 160G,PKS3608,2, RM6.42 ,10.08,0,24.8,13.6,12.84
29/4/2023,444,0,728,408,AYAM DINDINGS CRISPY CHICKEN FINGER 400G,PKS5739,10, RM9.50 ,44.4,0,72.8,40.8,95.00
29/4/2023,81,0,204,310.5,AYAMADU SOSEJ DAGING LEMBU 300G,PKS5856,5, RM6.10 ,16.2,0,40.8,62.1,30.50
13/2/2023,19.92,0,18.6,30.48,BABA'S CUMIN POWDER (JINTAN PUTIH) 20G,PKS5662,6, RM0.78 ,3.32,0,3.1,5.08,4.68
28/6/2023,59.78,39.62,24.78,33.32,BABA'S FENNEL POWDER (JINTAN MANIS) 20G,PKS5663,7, RM0.85 ,8.54,5.66,3.54,4.76,5.95
13/2/2023,51.24,33.96,21.24,28.56,BABA'S FENNEL POWDER (JINTAN MANIS) 20G,PKS5663,6, RM0.78 ,8.54,5.66,3.54,4.76,4.68
17/4/2023,75,57.6,24.75,31.5,BABA'S KARI DAGING PEDAS 25G,PKS1151,6, RM0.83 ,12.5,9.6,4.13,5.25,4.98
20/3/2023,47.6,136.5,52.5,63.35,BABA'S REMPAH BRIYANI 70G,PKS4538,5, RM4.50 ,9.52,27.3,10.5,12.67,22.50
7/9/2023,19.04,54.6,21,25.34,BABA'S REMPAH BRIYANI 70G,PKS4538,2, RM4.80 ,9.52,27.3,10.5,12.67,9.60
20/3/2023,59.4,78.54,22.88,29.7,BABA'S SERBUK CILI 20G,PKS1147,11, RM0.93 ,5.4,7.14,2.08,2.7,10.23
28/6/2023,133.75,99.25,40.75,44.25,BABA'S SERBUK KARI IKAN 125G,PKS1143,2, RM2.50 ,66.88,49.63,20.38,22.13,5.00
17/8/2023,200.625,148.875,61.125,66.375,BABA'S SERBUK KARI IKAN MASIN 125G,PKS2310,3, RM3.00 ,66.88,49.63,20.38,22.13,9.00
17/8/2023,53.5,39.7,16.3,17.7,BABA'S SERBUK KARI IKAN MASIN 25G,PKS3179,4, RM0.90 ,13.38,9.93,4.08,4.43,3.60
9/1/2023,40.125,29.775,12.225,13.275,BABA'S SERBUK KARI IKAN MASIN 25G,PKS3179,3, RM0.90 ,13.38,9.93,4.08,4.43,2.70
20/3/2023,26.75,19.85,8.15,8.85,BABA'S SERBUK KARI IKAN PEDAS 25G,PKS1149,2, RM0.83 ,13.38,9.93,4.08,4.43,1.66
28/6/2023,182.75,44,15.75,6.75,BABA'S SERBUK KUNYIT (TURMERIC) 250G,PKS1140,1, RM4.30 ,182.75,44,15.75,6.75,4.30
17/4/2023,18.275,4.4,1.575,0.675,BABA'S SERBUK KUNYIT (TURMERIC) 25G,PKS1141,1, RM0.80 ,18.28,4.4,1.58,0.68,0.80
9/1/2023,41.475,43.925,25.725,32.2,BABA'S SERBUK RENDANG 25G,PKS3180,7, RM0.90 ,5.93,6.28,3.68,4.6,6.30
17/7/2023,1890,85,237.5,27.5,BABA'S TEPUNG MURUKKU 500G,PKS2309,5, RM5.20 ,378,17,47.5,5.5,26.00
12/9/2023,271.58,0,15.17,0,BANGLE GUMMY 30PCS,PKS6338,1, RM9.00 ,271.58,0,15.17,0,9.00
