Date,Carbohydrates,Fiber,Protein,Fat,Item Description,Unit Price
12/3/2023,96,0,72,12,ALIBABA DIDI CLUD STICK 10PCS, RM1.58 
12/3/2023,640,0,0,0,ALIBABA JELLY DRINK 90MLX20PCS, RM7.10 
12/3/2023,120,0,0,0,V-KA JOLA LOLLIPOP 24PCS, RM22.80 
12/3/2023,40,0,0,0,V-KA LOLLIPOP 1PCS, RM0.95 
12/3/2023,720,0,0,0,V-KA LOLLIPOP 24PCS, RM22.80 
14/3/2023,8,0,12,4,MAGGI KIUB PATI IKAN BILIS 6X10G, RM2.83 
14/3/2023,220,0,88,88,MAGGI KIUB PATI TOM YAM 6X10G, RM2.83 
14/3/2023,1200,0,0,0,MIXX KONJAC JELLY 40PCS, RM12.00 
14/3/2023,560,0,0,40,RAINBOW SPARY 20PCS, RM6.00 
14/3/2023,15,1,2,12,WATER GAME 8PCS, RM2.90 
16/3/2023,6.16,0,102.08,40.88,ES SARDINES 400G, RM3.50 
16/3/2023,750,0,150,0,SAJI SOS CILI 500G, RM3.68 
16/3/2023,846,0,30,0,SAJI SOS TOMATO 485G, RM3.68 
17/3/2023,3860,0,355,145,JATI BERAS JELAPANG 5KG, RM14.16 
18/3/2023,1645.44,38.4,96,59.52,WHISKAS OCEAN FISH FLAVOUR 480G 1+YEARS, RM6.38 
18/3/2023,1028.4,24,60,37.2,WHISKAS TUNA FLAVOUR 1.2KG, RM12.67 
18/3/2023,1645.44,38.4,96,59.52,WHISKAS TUNA FLAVOUR 480G 1+YEARS, RM6.38 
20/3/2023,47.6,136.5,52.5,63.35,BABA'S REMPAH BRIYANI 70G, RM4.50 
20/3/2023,59.4,78.54,22.88,29.7,BABA'S SERBUK CILI 20G, RM0.93 
20/3/2023,26.75,19.85,8.15,8.85,BABA'S SERBUK KARI IKAN PEDAS 25G, RM0.83 
