nutrient,train_mse,train_rmse,test_mse,test_rmse
carbohydrates,1416645144.5380237,37638.34672960575,2920860462.603409,54044.98554540845
protein,6228003.489579151,2495.596820317567,8757670.798151685,2959.3362090427786
fat,27807379.68243036,5273.270302424327,47546854.61460437,6895.422729217141
fiber,15391.107829064556,124.06090370888226,69247.13270764232,263.14849934522204
