nutrient,train_mse,train_rmse,test_mse,test_rmse
carbohydrates,41353348.31014932,6430.6569112454845,110406472.56257793,10507.448432544312
fiber,2456.9588812179336,49.56772015352263,74906.80474507088,273.69107538440284
protein,168006.51594831777,409.88597920436086,579953.2556652769,761.5466208087834
fat,1707334.4444080074,1306.6500849148588,3526776.9750517653,1877.9715053886641
