nutrient,train_mse,train_rmse,test_mse,test_rmse
carbohydrates,9.590402975806551e-05,0.009793060285634186,114420644.50306472,10696.758597961567
protein,6.760675830910618e-07,0.000822233289943348,250195.7451298249,500.19570682866214
fat,2.1989950109327086e-06,0.0014829008769748262,3298580.4302069913,1816.1994467037455
fiber,3.4237378525622824e-07,0.0005851271530669451,30203.734109592308,173.79221533081483
