date,actual,predicted_train,predicted_test
2023-02-05,507.716,431.37152099609375,
2023-02-12,108.96,262.631591796875,
2023-02-19,310.16,246.51458740234375,
2023-02-26,1157.5,1080.21484375,
2023-03-05,1.0,475.3984375,
2023-03-12,263.025,418.5234375,
2023-03-19,101.8,215.35011291503906,
2023-03-26,234.89,214.4104461669922,
2023-04-02,105.0,192.3440399169922,
2023-04-09,0.0,91.85260009765625,
2023-04-16,17.0,49.698143005371094,
2023-04-23,62.0,47.95673370361328,
2023-04-30,0.0,27.329099655151367,
2023-05-07,42.0,45.11069869995117,
2023-05-14,268.048,305.8166809082031,
2023-05-21,358.7,372.3779296875,
2023-05-28,0.0,207.43463134765625,
2023-06-04,253.482,227.51397705078125,
2023-06-11,99.64,119.21891784667969,
2023-06-18,35.1,82.45164489746094,
2023-06-25,2.2,53.43029022216797,
2023-07-02,309.185,300.4722595214844,
2023-07-09,150.785,197.13693237304688,
2023-07-16,0.0,121.48292541503906,
2023-07-23,545.3,427.7435302734375,
2023-07-30,975.35,1073.65087890625,
2023-08-06,0.0,,583.9398193359375
2023-08-13,20.0,,319.45892333984375
2023-08-20,1626.4150000000002,,1013.43359375
2023-08-27,268.88,,573.8027954101562
2023-09-03,404.41,,577.4103393554688
2023-09-10,496.172,,398.6134033203125
2023-09-17,30.84,,279.74822998046875
2023-09-24,135.68,,137.20556640625
