date,actual,predicted_train,predicted_test
2023-02-05,1595.759,1595.7598876953125,
2023-02-12,2440.366,2440.36669921875,
2023-02-19,3932.16,3932.159423828125,
2023-02-26,7589.75,7589.74951171875,
2023-03-05,57.6,57.599945068359375,
2023-03-12,1210.784,1210.7840576171875,
2023-03-19,991.08,991.0800170898438,
2023-03-26,758.35,758.3497314453125,
2023-04-02,3246.945,3246.945068359375,
2023-04-09,1454.7,1454.70068359375,
2023-04-16,16.8,16.80111312866211,
2023-04-23,332.735,332.7353210449219,
2023-04-30,1220.0,1219.999755859375,
2023-05-07,909.2,909.1996459960938,
2023-05-14,8375.716,8375.712890625,
2023-05-21,2802.775,2802.77490234375,
2023-05-28,1275.3,1275.2998046875,
2023-06-04,1317.52,1317.519287109375,
2023-06-11,311.67,311.66961669921875,
2023-06-18,1682.35,1682.3504638671875,
2023-06-25,1888.431,1888.4307861328125,
2023-07-02,199.171,199.17140197753906,
2023-07-09,1177.204,1177.2037353515625,
2023-07-16,945.35,945.35107421875,
2023-07-23,2565.11,2565.109619140625,
2023-07-30,1494.0,1493.998779296875,
2023-08-06,539.125,,339.6246032714844
2023-08-13,965.489,,942.4464111328125
2023-08-20,4419.245,,3932.146728515625
2023-08-27,5162.263,,3932.14990234375
2023-09-03,638.5450000000001,,337.9811706542969
2023-09-10,4051.631,,3932.150146484375
2023-09-17,3065.653,,2802.5791015625
2023-09-24,3439.106,,3246.83154296875
