date,actual,predicted_train,predicted_test
2023-03-05,1595.759,280.6458740234375,
2023-03-12,2440.366,463.31378173828125,
2023-03-19,3932.16,527.507080078125,
2023-03-26,7589.75,704.6049194335938,
2023-04-05,57.6,694.0106201171875,
2023-04-12,1210.784,191.1531982421875,
2023-04-19,991.08,130.14044189453125,
2023-04-26,758.35,271.3650207519531,
2023-05-02,3246.945,165.64935302734375,
2023-05-09,1454.7,187.56861877441406,
2023-05-16,16.8,135.35009765625,
2023-05-23,332.735,146.45230102539062,
2023-05-30,1220.0,132.141357421875,
2023-06-07,909.2,159.63345336914062,
2023-06-14,8375.716,573.5088500976562,
2023-06-21,2802.775,606.4832153320312,
2023-06-28,1275.3,628.2737426757812,
2023-07-04,1317.52,145.2145538330078,
2023-07-11,311.67,517.2033081054688,
2023-07-18,1682.35,57.062747955322266,
2023-07-25,1888.431,195.20443725585938,
2023-08-02,199.171,167.67550659179688,
2023-08-09,1177.204,176.5652618408203,
2023-08-16,945.35,139.96139526367188,
2023-08-23,2565.11,208.26153564453125,
2023-08-30,1494.0,179.34646606445312,
2023-09-06,539.125,,94.47441101074219
2023-09-13,965.489,,253.38262939453125
2023-09-20,4419.245,,169.44027709960938
2023-09-27,5162.263,,371.00762939453125
2023-10-03,638.5450000000001,,358.6875
2023-10-10,4051.631,,529.4642944335938
2023-10-17,3065.653,,421.33416748046875
2023-10-24,3439.106,,461.9953308105469
