date,actual,predicted_train,predicted_test
2023-03-05,2561.308,2561.30810546875,
2023-03-12,1895.609,1895.6087646484375,
2023-03-19,12815.929999999998,12815.9287109375,
2023-03-26,9593.34,9593.3388671875,
2023-04-05,921.2,921.2003173828125,
2023-04-12,898.6949999999999,898.6940307617188,
2023-04-19,486.12,486.1202087402344,
2023-04-26,2182.23,2182.230224609375,
2023-05-02,1778.32,1778.3197021484375,
2023-05-09,597.8,597.7999267578125,
2023-05-16,1.7,1.7011048793792725,
2023-05-23,1284.515,1284.5150146484375,
2023-05-30,1078.5,1078.499755859375,
2023-06-07,1273.2,1273.20068359375,
2023-06-14,24937.364,24937.357421875,
2023-06-21,5177.735,5177.73486328125,
2023-06-28,747.775,747.7754516601562,
2023-07-04,1754.239,1754.23974609375,
2023-07-11,1259.66,1259.6611328125,
2023-07-18,626.6,626.598388671875,
2023-07-25,1319.661,1319.659423828125,
2023-08-02,403.413,403.4130554199219,
2023-08-09,2627.789,2627.789794921875,
2023-08-16,467.54,467.5401306152344,
2023-08-23,3191.65,3191.649658203125,
2023-08-30,1944.55,1944.550048828125,
2023-09-06,2035.07,,1946.158203125
2023-09-13,4022.159,,3183.974853515625
2023-09-20,17114.775,,12815.9287109375
2023-09-27,4957.269,,3186.061279296875
2023-10-03,3150.13,,2627.375244140625
2023-10-10,4885.863,,3184.85498046875
2023-10-17,9709.53,,9593.3388671875
2023-10-24,10531.81,,9593.3388671875
