date,actual,predicted_train,predicted_test
2023-02-05,2561.308,532.4481811523438,
2023-02-12,1895.609,-52.429969787597656,
2023-02-19,12815.929999999998,226.15989685058594,
2023-02-26,9593.34,199.84652709960938,
2023-03-05,921.2,7.71431303024292,
2023-03-12,898.6949999999999,-109.15320587158203,
2023-03-19,486.12,-457.3892822265625,
2023-03-26,2182.23,-3.754772663116455,
2023-04-02,1778.32,41.060943603515625,
2023-04-09,597.8,10.951870918273926,
2023-04-16,1.7,-8.418634414672852,
2023-04-23,1284.515,-41.97227478027344,
2023-04-30,1078.5,-12.303525924682617,
2023-05-07,1273.2,26.170486450195312,
2023-05-14,24937.364,556.3154296875,
2023-05-21,5177.735,419.1197814941406,
2023-05-28,747.775,-881.5481567382812,
2023-06-04,1754.239,444.4284362792969,
2023-06-11,1259.66,-486.6024169921875,
2023-06-18,626.6,-168.038818359375,
2023-06-25,1319.661,4.608689785003662,
2023-07-02,403.413,-30.26418685913086,
2023-07-09,2627.789,42.56095886230469,
2023-07-16,467.54,123.73733520507812,
2023-07-23,3191.65,238.25775146484375,
2023-07-30,1944.55,-113.28703308105469,
2023-08-06,2035.07,,-197.0737762451172
2023-08-13,4022.159,,-106.16030883789062
2023-08-20,17114.775,,1689.4781494140625
2023-08-27,4957.269,,1208.8485107421875
2023-09-03,3150.13,,-571.6808471679688
2023-09-10,4885.863,,19.364208221435547
2023-09-17,9709.53,,2.05244779586792
2023-09-24,10531.81,,137.5633087158203
