date,actual,predicted_train,predicted_test
2023-03-05,10626.564,11073.395790000011,
2023-03-12,36763.266,39469.29713999996,
2023-03-19,39100.83,38144.835540000015,
2023-03-26,134037.062,104200.70244000005,
2023-04-05,1285.16,1311.108400000002,
2023-04-12,15973.14,16453.741309999983,
2023-04-19,11784.44,11840.708439999984,
2023-04-26,6524.13,6240.021780000002,
2023-05-02,13383.03,13298.863970000015,
2023-05-09,15526.05,15862.24883000002,
2023-05-16,195.75,864.6997000000001,
2023-05-23,16570.435,16387.599250000025,
2023-05-30,933.0,1903.1146600000002,
2023-06-07,2233.25,3015.0372000000007,
2023-06-14,91263.476,84652.67188999988,
2023-06-21,18294.415,17700.358450000018,
2023-06-28,17407.100000000002,18638.929170000014,
2023-07-04,12602.116,12721.38306,
2023-07-11,3015.1,3181.165,
2023-07-18,36800.05,36084.18415999996,
2023-07-25,63206.283,52193.19840999995,
2023-08-02,10176.51,10779.42830000001,
2023-08-09,20889.025,19394.675859999978,
2023-08-16,11507.52,11620.017580000007,
2023-08-23,29543.91,31036.85171000002,
2023-08-30,14597.0,14745.197590000005,
2023-09-06,15596.85,,16054.127990000017
2023-09-13,23377.706,,20415.320639999987
2023-09-20,81031.745,,64001.56647999994
2023-09-27,73204.134,,66016.33621999995
2023-10-03,10876.59,,10761.848450000009
2023-10-10,33201.321,,33015.71346999998
2023-10-17,84018.715,,63458.10216999995
2023-10-24,45667.894,,35382.58523000002
